,negative,neutral,positive,total
closer,4.0,0.0,16.0,20.0
closest,4.0,0.0,4.0,8.0
closet,0.0,0.0,2.0,2.0
cloth,0.0,0.0,5.0,5.0
clumsi,4.0,4.0,5.0,13.0
clutter,0.0,0.0,6.0,6.0
co,0.0,0.0,1.0,1.0
coat,0.0,12.0,73.0,85.0
coax,0.0,0.0,3.0,3.0
cocern,0.0,0.0,1.0,1.0
cockey,0.0,4.0,0.0,4.0
code,0.0,0.0,11.0,11.0
coffe,0.0,0.0,1.0,1.0
coil,0.0,4.0,8.0,12.0
coincident,0.0,0.0,1.0,1.0
coinstar,0.0,4.0,0.0,4.0
cold,0.0,4.0,5.0,9.0
collaps,0.0,4.0,9.0,13.0
collect,18.0,8.0,6.0,32.0
color,0.0,0.0,25.0,25.0
colour,0.0,0.0,23.0,23.0
com,0.0,0.0,2.0,2.0
combat,0.0,0.0,1.0,1.0
combin,12.0,0.0,15.0,27.0
combo,0.0,4.0,10.0,14.0
come,115.0,140.0,328.0,583.0
comfi,0.0,0.0,4.0,4.0
comfort,12.0,32.0,93.0,137.0
comic,0.0,0.0,1.0,1.0
commend,0.0,0.0,1.0,1.0
comment,0.0,4.0,11.0,15.0
common,0.0,4.0,17.0,21.0
comp,0.0,0.0,1.0,1.0
compact,0.0,16.0,30.0,46.0
compar,46.0,44.0,116.0,206.0
comparison,0.0,0.0,1.0,1.0
compart,0.0,0.0,3.0,3.0
compat,0.0,0.0,4.0,4.0
compel,4.0,0.0,2.0,6.0
compens,0.0,8.0,9.0,17.0
compet,25.0,4.0,7.0,36.0
competit,0.0,4.0,2.0,6.0
complain,8.0,16.0,40.0,64.0
complaint,0.0,0.0,3.0,3.0
complement,0.0,0.0,1.0,1.0
complet,53.0,28.0,58.0,139.0
complex,0.0,4.0,4.0,8.0
compli,0.0,0.0,1.0,1.0
compliant,0.0,0.0,1.0,1.0
complic,4.0,4.0,5.0,13.0
compliment,0.0,0.0,4.0,4.0
complimentari,0.0,0.0,1.0,1.0
compos,0.0,0.0,1.0,1.0
comprabl,4.0,0.0,0.0,4.0
comprehens,0.0,0.0,1.0,1.0
compress,8.0,0.0,5.0,13.0
compromis,0.0,0.0,2.0,2.0
compuls,0.0,0.0,1.0,1.0
con,0.0,0.0,2.0,2.0
conatct,0.0,0.0,1.0,1.0
conatin,0.0,4.0,0.0,4.0
conaus,0.0,0.0,1.0,1.0
conceal,0.0,0.0,1.0,1.0
conced,0.0,0.0,2.0,2.0
conceiv,0.0,0.0,1.0,1.0
concentr,0.0,0.0,2.0,2.0
concern,8.0,4.0,21.0,33.0
concert,0.0,0.0,3.0,3.0
conclud,0.0,4.0,4.0,8.0
concret,0.0,4.0,0.0,4.0
concur,0.0,0.0,2.0,2.0
condens,8.0,0.0,8.0,16.0
condit,0.0,4.0,3.0,7.0
confess,0.0,0.0,1.0,1.0
confid,0.0,0.0,5.0,5.0
configur,0.0,0.0,7.0,7.0
configurationpro,0.0,0.0,1.0,1.0
confin,0.0,0.0,2.0,2.0
confirm,0.0,4.0,3.0,7.0
conform,0.0,0.0,1.0,1.0
confort,0.0,0.0,1.0,1.0
confus,0.0,4.0,11.0,15.0
conga,0.0,0.0,1.0,1.0
conjur,0.0,0.0,1.0,1.0
connect,8.0,24.0,65.0,97.0
connector,0.0,0.0,1.0,1.0
connoisseur,0.0,0.0,1.0,1.0
conscious,0.0,0.0,2.0,2.0
conserv,0.0,4.0,2.0,6.0
consid,32.0,52.0,96.0,180.0
consider,0.0,8.0,5.0,13.0
considerng,0.0,0.0,1.0,1.0
consist,4.0,16.0,18.0,38.0
consol,0.0,0.0,1.0,1.0
conspicu,18.0,0.0,0.0,18.0
constant,16.0,16.0,19.0,51.0
constru,0.0,0.0,1.0,1.0
construct,16.0,0.0,31.0,47.0
constuct,0.0,0.0,1.0,1.0
consult,0.0,0.0,2.0,2.0
consum,0.0,0.0,2.0,2.0
contact,12.0,4.0,10.0,26.0
contain,0.0,4.0,8.0,12.0
contamin,0.0,8.0,0.0,8.0
contempl,0.0,0.0,3.0,3.0
content,0.0,0.0,1.0,1.0
contextu,0.0,0.0,1.0,1.0
continu,38.0,20.0,34.0,92.0
contrari,0.0,0.0,2.0,2.0
contribut,0.0,0.0,2.0,2.0
control,0.0,20.0,41.0,61.0
conveni,0.0,4.0,24.0,28.0
convent,0.0,0.0,10.0,10.0
convers,0.0,0.0,3.0,3.0
convert,0.0,4.0,12.0,16.0
convey,0.0,0.0,2.0,2.0
convinc,8.0,4.0,12.0,24.0
cook,0.0,0.0,1.0,1.0
cool,41.0,24.0,64.0,129.0
coolest,0.0,0.0,1.0,1.0
copi,0.0,0.0,1.0,1.0
copyright,0.0,0.0,1.0,1.0
cord,0.0,8.0,0.0,8.0
cordless,0.0,0.0,1.0,1.0
cordoba,0.0,0.0,1.0,1.0
core,0.0,0.0,1.0,1.0
cork,0.0,0.0,1.0,1.0
corner,0.0,4.0,0.0,4.0
corpor,0.0,0.0,1.0,1.0
correct,4.0,32.0,36.0,72.0
correspond,0.0,0.0,2.0,2.0
corrod,0.0,0.0,11.0,11.0
cosmet,0.0,0.0,4.0,4.0
cost,42.0,60.0,73.0,175.0
costlier,0.0,0.0,1.0,1.0
cough,0.0,4.0,1.0,5.0
couldnt,0.0,0.0,2.0,2.0
count,0.0,0.0,10.0,10.0
counterweight,0.0,0.0,1.0,1.0
countless,0.0,0.0,3.0,3.0
countor,0.0,0.0,1.0,1.0
coupl,29.0,8.0,20.0,57.0
courteous,0.0,0.0,1.0,1.0
cousin,0.0,0.0,1.0,1.0
cover,26.0,28.0,33.0,87.0
covet,0.0,0.0,2.0,2.0
cozi,0.0,0.0,1.0,1.0
cr,4.0,0.0,0.0,4.0
crack,12.0,0.0,20.0,32.0
crackl,0.0,16.0,2.0,18.0
cradl,0.0,0.0,4.0,4.0
craft,0.0,0.0,2.0,2.0
craftsmanship,0.0,0.0,2.0,2.0
cram,0.0,0.0,2.0,2.0
cramp,0.0,0.0,3.0,3.0
crank,4.0,24.0,29.0,57.0
crap,8.0,0.0,4.0,12.0
crapi,0.0,0.0,1.0,1.0
crappi,8.0,0.0,6.0,14.0
crapwar,0.0,4.0,0.0,4.0
crash,0.0,0.0,1.0,1.0
crate,0.0,0.0,1.0,1.0
crazi,8.0,16.0,10.0,34.0
creak,8.0,0.0,0.0,8.0
cream,0.0,0.0,1.0,1.0
creami,0.0,0.0,1.0,1.0
creamier,4.0,0.0,0.0,4.0
creat,12.0,16.0,20.0,48.0
creativ,8.0,8.0,5.0,21.0
creep,0.0,0.0,1.0,1.0
crescent,21.0,0.0,0.0,21.0
cri,0.0,0.0,1.0,1.0
cricial,0.0,0.0,1.0,1.0
crisp,0.0,4.0,8.0,12.0
crisper,12.0,0.0,1.0,13.0
criss,0.0,0.0,1.0,1.0
criteria,0.0,0.0,1.0,1.0
critic,0.0,8.0,6.0,14.0
crook,0.0,0.0,1.0,1.0
cross,0.0,4.0,4.0,8.0
crowd,0.0,0.0,4.0,4.0
cruis,0.0,0.0,1.0,1.0
crumbl,0.0,0.0,3.0,3.0
crunch,0.0,0.0,3.0,3.0
crunchi,0.0,4.0,5.0,9.0
crush,0.0,4.0,3.0,7.0
crybabi,0.0,8.0,0.0,8.0
crystal,0.0,4.0,0.0,4.0
ct,0.0,0.0,1.0,1.0
cube,0.0,0.0,1.0,1.0
cumbersom,0.0,8.0,2.0,10.0
cure,0.0,4.0,0.0,4.0
curious,4.0,0.0,3.0,7.0
curl,0.0,0.0,1.0,1.0
current,8.0,12.0,35.0,55.0
curtain,0.0,4.0,0.0,4.0
curv,0.0,0.0,4.0,4.0
cushin,0.0,0.0,1.0,1.0
cushion,0.0,0.0,1.0,1.0
custom,0.0,8.0,9.0,17.0
customiz,0.0,0.0,1.0,1.0
cut,53.0,68.0,93.0,214.0
cute,0.0,0.0,5.0,5.0
cutter,0.0,0.0,1.0,1.0
cymbal,0.0,0.0,9.0,9.0
da,0.0,0.0,1.0,1.0
dab,0.0,4.0,0.0,4.0
dabbl,0.0,0.0,1.0,1.0
daddario,0.0,0.0,1.0,1.0
daili,0.0,0.0,14.0,14.0
daisi,0.0,0.0,2.0,2.0
daisychain,0.0,0.0,1.0,1.0
damag,34.0,16.0,40.0,90.0
damn,8.0,0.0,4.0,12.0
damp,0.0,4.0,4.0,8.0
dampen,0.0,4.0,7.0,11.0
dan,0.0,8.0,0.0,8.0
danc,0.0,0.0,1.0,1.0
dandi,0.0,0.0,1.0,1.0
danelecto,0.0,0.0,1.0,1.0
danelectr,0.0,0.0,1.0,1.0
danelectro,8.0,4.0,18.0,30.0
dang,0.0,8.0,3.0,11.0
danger,0.0,4.0,0.0,4.0
dangl,4.0,0.0,3.0,7.0
dano,0.0,4.0,0.0,4.0
danoelectro,0.0,0.0,1.0,1.0
dark,8.0,0.0,11.0,19.0
darken,0.0,0.0,1.0,1.0
darker,0.0,0.0,6.0,6.0
darn,0.0,0.0,8.0,8.0
daunt,0.0,0.0,2.0,2.0
dava,0.0,0.0,3.0,3.0
dave,4.0,0.0,0.0,4.0
david,4.0,0.0,0.0,4.0
daw,0.0,4.0,2.0,6.0
dawg,0.0,0.0,1.0,1.0
db,0.0,8.0,5.0,13.0
dbu,0.0,0.0,1.0,1.0
dc,0.0,4.0,4.0,8.0
dcv,0.0,0.0,1.0,1.0
de,0.0,0.0,2.0,2.0
dead,8.0,8.0,23.0,39.0
deaden,0.0,0.0,3.0,3.0
deal,12.0,4.0,15.0,31.0
dealer,0.0,4.0,1.0,5.0
dean,0.0,0.0,7.0,7.0
death,0.0,0.0,1.0,1.0
debat,0.0,0.0,2.0,2.0
debut,0.0,0.0,1.0,1.0
dec,0.0,0.0,1.0,1.0
decay,0.0,4.0,1.0,5.0
decca,0.0,0.0,1.0,1.0
decemb,0.0,0.0,1.0,1.0
decent,67.0,68.0,59.0,194.0
decentclass,4.0,0.0,0.0,4.0
decept,0.0,0.0,1.0,1.0
decid,132.0,20.0,100.0,252.0
declin,0.0,4.0,0.0,4.0
decod,0.0,0.0,1.0,1.0
decor,0.0,0.0,1.0,1.0
dedic,18.0,8.0,5.0,31.0
deduc,0.0,0.0,1.0,1.0
deduct,0.0,0.0,1.0,1.0
dee,0.0,0.0,1.0,1.0
deem,0.0,0.0,1.0,1.0
deep,4.0,16.0,32.0,52.0
deepen,0.0,0.0,1.0,1.0
deeper,0.0,4.0,6.0,10.0
deepli,0.0,0.0,2.0,2.0
deer,0.0,0.0,2.0,2.0
def,0.0,0.0,1.0,1.0
defeat,0.0,0.0,1.0,1.0
defect,217.0,12.0,4.0,233.0
defiant,0.0,0.0,1.0,1.0
defin,0.0,0.0,12.0,12.0
definet,0.0,0.0,3.0,3.0
definit,52.0,64.0,141.0,257.0
definitet,0.0,0.0,1.0,1.0
defint,0.0,0.0,1.0,1.0
deform,8.0,0.0,0.0,8.0
deg,8.0,0.0,0.0,8.0
degrad,0.0,4.0,3.0,7.0
degre,21.0,8.0,6.0,35.0
delay,0.0,8.0,8.0,16.0
delic,0.0,0.0,1.0,1.0
delici,0.0,0.0,2.0,2.0
delight,0.0,4.0,2.0,6.0
deliv,0.0,0.0,36.0,36.0
delta,0.0,0.0,1.0,1.0
delux,0.0,0.0,7.0,7.0
demand,0.0,8.0,2.0,10.0
demo,0.0,4.0,0.0,4.0
demon,0.0,0.0,1.0,1.0
demonstr,0.0,0.0,3.0,3.0
deni,0.0,0.0,1.0,1.0
dens,0.0,0.0,3.0,3.0
dent,4.0,8.0,7.0,19.0
depend,25.0,36.0,48.0,109.0
deploy,0.0,0.0,1.0,1.0
depress,0.0,0.0,7.0,7.0
dept,0.0,0.0,1.0,1.0
depth,0.0,0.0,2.0,2.0
deriv,0.0,0.0,2.0,2.0
descent,0.0,0.0,1.0,1.0
describ,26.0,20.0,23.0,69.0
desern,0.0,0.0,1.0,1.0
deserv,0.0,4.0,8.0,12.0
design,34.0,16.0,60.0,110.0
designedquick,0.0,0.0,1.0,1.0
desir,0.0,12.0,11.0,23.0
desk,0.0,0.0,2.0,2.0
deskadjust,0.0,0.0,1.0,1.0
desktop,0.0,0.0,5.0,5.0
desper,0.0,0.0,1.0,1.0
destin,0.0,0.0,1.0,1.0
destroy,8.0,4.0,5.0,17.0
destroyerto,0.0,0.0,1.0,1.0
destruct,0.0,4.0,0.0,4.0
detach,0.0,0.0,6.0,6.0
detail,8.0,0.0,8.0,16.0
detect,8.0,0.0,13.0,21.0
detent,0.0,0.0,1.0,1.0
deterior,0.0,0.0,3.0,3.0
determin,0.0,0.0,4.0,4.0
detract,0.0,4.0,1.0,5.0
detriment,0.0,4.0,0.0,4.0
detun,0.0,0.0,3.0,3.0
develop,0.0,12.0,11.0,23.0
devic,0.0,0.0,1.0,1.0
devill,0.0,0.0,3.0,3.0
devot,0.0,0.0,1.0,1.0
dhave,0.0,0.0,1.0,1.0
di,0.0,0.0,3.0,3.0
diagnos,0.0,0.0,1.0,1.0
diagon,0.0,0.0,4.0,4.0
diagram,0.0,0.0,1.0,1.0
dial,0.0,4.0,30.0,34.0
diamet,0.0,0.0,4.0,4.0
diaphragm,0.0,0.0,1.0,1.0
diaton,0.0,0.0,2.0,2.0
dice,0.0,0.0,1.0,1.0
dick,0.0,0.0,1.0,1.0
did,232.0,220.0,419.0,871.0
didd,0.0,0.0,1.0,1.0
didn,0.0,0.0,1.0,1.0
didnt,0.0,0.0,5.0,5.0
didtl,0.0,0.0,1.0,1.0
die,0.0,4.0,17.0,21.0
dif,0.0,0.0,1.0,1.0
difer,0.0,4.0,0.0,4.0
differ,175.0,92.0,259.0,526.0
differenti,0.0,0.0,1.0,1.0
difficult,32.0,56.0,37.0,125.0
diffus,0.0,0.0,1.0,1.0
dig,4.0,8.0,14.0,26.0
digit,4.0,24.0,27.0,55.0
digitech,0.0,0.0,9.0,9.0
dilig,0.0,4.0,1.0,5.0
dim,4.0,0.0,1.0,5.0
dimarzio,0.0,4.0,1.0,5.0
dime,0.0,4.0,1.0,5.0
dimebag,0.0,4.0,0.0,4.0
dimension,0.0,4.0,0.0,4.0
diminish,0.0,0.0,1.0,1.0
ding,0.0,0.0,1.0,1.0
dinosaur,4.0,0.0,0.0,4.0
direct,16.0,48.0,52.0,116.0
dirt,0.0,0.0,3.0,3.0
dirtbox,0.0,0.0,1.0,1.0
dirti,4.0,0.0,16.0,20.0
dirtier,0.0,0.0,1.0,1.0
disabl,0.0,0.0,2.0,2.0
disagre,4.0,4.0,1.0,9.0
disapoint,21.0,4.0,0.0,25.0
disappear,0.0,4.0,8.0,12.0
disappoint,57.0,56.0,59.0,172.0
discard,0.0,0.0,1.0,1.0
discern,0.0,4.0,6.0,10.0
discharg,18.0,0.0,0.0,18.0
discolor,0.0,0.0,2.0,2.0
disconcert,0.0,0.0,1.0,1.0
disconnect,0.0,0.0,8.0,8.0
discontinu,0.0,0.0,5.0,5.0
discourag,0.0,0.0,1.0,1.0
discov,8.0,4.0,27.0,39.0
discreet,0.0,0.0,1.0,1.0
discret,4.0,0.0,0.0,4.0
discuss,0.0,0.0,1.0,1.0
disengag,0.0,0.0,7.0,7.0
dish,0.0,4.0,0.0,4.0
dishwash,0.0,0.0,1.0,1.0
disintegr,0.0,0.0,1.0,1.0
dislik,0.0,0.0,3.0,3.0
dislodg,0.0,0.0,1.0,1.0
dismantl,0.0,4.0,1.0,5.0
dismay,0.0,0.0,1.0,1.0
dismiss,0.0,8.0,1.0,9.0
disonnect,0.0,0.0,1.0,1.0
dispens,0.0,0.0,2.0,2.0
display,40.0,0.0,7.0,47.0
displeas,0.0,0.0,2.0,2.0
dispos,0.0,0.0,3.0,3.0
disprov,0.0,0.0,1.0,1.0
disqppoint,0.0,0.0,1.0,1.0
disregard,0.0,0.0,1.0,1.0
dissapoint,0.0,0.0,4.0,4.0
dissappoint,0.0,0.0,1.0,1.0
dissatisfi,0.0,0.0,3.0,3.0
dissect,0.0,0.0,1.0,1.0
dissip,0.0,4.0,1.0,5.0
dissolv,0.0,0.0,2.0,2.0
dissuad,0.0,4.0,0.0,4.0
distanc,0.0,0.0,1.0,1.0
distil,18.0,0.0,11.0,29.0
distinct,8.0,8.0,8.0,24.0
distinguish,0.0,0.0,2.0,2.0
distort,20.0,24.0,28.0,72.0
distract,0.0,0.0,2.0,2.0
distribut,4.0,4.0,1.0,9.0
disturb,0.0,4.0,3.0,7.0
ditch,0.0,0.0,1.0,1.0
dive,0.0,0.0,4.0,4.0
divers,4.0,0.0,3.0,7.0
divid,0.0,0.0,1.0,1.0
divin,0.0,0.0,1.0,1.0
dj,0.0,0.0,8.0,8.0
djing,0.0,0.0,1.0,1.0
dmk,0.0,0.0,1.0,1.0
dna,0.0,4.0,0.0,4.0
do,698.0,660.0,1363.0,2721.0
doc,0.0,4.0,2.0,6.0
doctor,0.0,0.0,2.0,2.0
dod,0.0,0.0,2.0,2.0
doe,489.0,396.0,758.0,1643.0
doesnt,0.0,0.0,5.0,5.0
dog,0.0,0.0,1.0,1.0
doit,0.0,0.0,1.0,1.0
domin,0.0,0.0,2.0,2.0
don,0.0,8.0,1.0,9.0
dond,0.0,0.0,1.0,1.0
done,30.0,40.0,84.0,154.0
dont,4.0,32.0,28.0,64.0
doo,0.0,0.0,1.0,1.0
door,0.0,0.0,1.0,1.0
dope,0.0,0.0,1.0,1.0
dos,0.0,0.0,1.0,1.0
dose,0.0,0.0,1.0,1.0
dot,0.0,0.0,1.0,1.0
doubl,0.0,12.0,46.0,58.0
doubt,8.0,0.0,3.0,11.0
dous,0.0,0.0,1.0,1.0
down,62.0,20.0,58.0,140.0
downgrad,0.0,0.0,1.0,1.0
download,0.0,4.0,7.0,11.0
downright,4.0,0.0,0.0,4.0
downsid,0.0,0.0,2.0,2.0
downtown,0.0,0.0,1.0,1.0
downward,0.0,0.0,1.0,1.0
dps,0.0,0.0,3.0,3.0
dr,0.0,4.0,6.0,10.0
drag,0.0,0.0,6.0,6.0
drain,0.0,4.0,4.0,8.0
dramat,0.0,4.0,12.0,16.0
dramtic,0.0,0.0,1.0,1.0
drastic,0.0,4.0,8.0,12.0
draw,12.0,0.0,5.0,17.0
drawback,0.0,0.0,2.0,2.0
drawn,0.0,0.0,1.0,1.0
dread,0.0,0.0,2.0,2.0
dreadknot,0.0,0.0,1.0,1.0
dreadnaught,0.0,0.0,2.0,2.0
dreadnought,0.0,0.0,2.0,2.0
dream,0.0,0.0,3.0,3.0
dremel,0.0,0.0,1.0,1.0
dress,0.0,0.0,3.0,3.0
drew,0.0,0.0,1.0,1.0
dri,62.0,8.0,59.0,129.0
drier,0.0,0.0,1.0,1.0
drill,8.0,12.0,39.0,59.0
drink,0.0,0.0,3.0,3.0
drip,36.0,4.0,7.0,47.0
drive,0.0,4.0,15.0,19.0
driven,0.0,4.0,2.0,6.0
driver,0.0,0.0,3.0,3.0
droop,0.0,4.0,0.0,4.0
drop,12.0,20.0,70.0,102.0
drope,0.0,0.0,1.0,1.0
drove,0.0,0.0,1.0,1.0
drown,0.0,0.0,3.0,3.0
drum,0.0,4.0,20.0,24.0
drummer,0.0,0.0,2.0,2.0
drumset,0.0,0.0,1.0,1.0
dryer,0.0,0.0,1.0,1.0
dryness,0.0,0.0,1.0,1.0
drywal,0.0,0.0,2.0,2.0
ds,12.0,0.0,3.0,15.0
dt,0.0,0.0,1.0,1.0
dual,8.0,8.0,16.0,32.0
dub,0.0,0.0,2.0,2.0
dubious,0.0,0.0,1.0,1.0
duck,0.0,0.0,1.0,1.0
dud,4.0,4.0,1.0,9.0
due,8.0,44.0,45.0,97.0
duel,0.0,0.0,1.0,1.0
duet,0.0,0.0,1.0,1.0
duh,0.0,4.0,0.0,4.0
dull,8.0,4.0,16.0,28.0
dumb,8.0,4.0,1.0,13.0
dump,0.0,0.0,3.0,3.0
duncan,0.0,4.0,4.0,8.0
dunlap,0.0,0.0,1.0,1.0
dunlop,28.0,24.0,35.0,87.0
dunno,0.0,4.0,0.0,4.0
durabilityth,0.0,0.0,1.0,1.0
durabl,8.0,32.0,120.0,160.0
duracel,0.0,4.0,0.0,4.0
durn,0.0,4.0,0.0,4.0
dust,4.0,4.0,6.0,14.0
dvd,0.0,0.0,1.0,1.0
dynam,18.0,4.0,36.0,58.0
ea,0.0,0.0,3.0,3.0
ear,0.0,4.0,13.0,17.0
earli,0.0,4.0,14.0,18.0
earlier,0.0,0.0,13.0,13.0
earliest,0.0,0.0,1.0,1.0
earn,0.0,4.0,4.0,8.0
earnest,0.0,4.0,0.0,4.0
earni,0.0,0.0,2.0,2.0
earthi,0.0,0.0,1.0,1.0
eas,0.0,0.0,3.0,3.0
eash,0.0,0.0,1.0,1.0
easi,37.0,140.0,431.0,608.0
easier,0.0,36.0,120.0,156.0
easiest,0.0,4.0,8.0,12.0
easili,62.0,68.0,184.0,314.0
easilli,0.0,0.0,2.0,2.0
easilydiscov,0.0,0.0,1.0,1.0
easli,0.0,0.0,1.0,1.0
easyt,0.0,0.0,1.0,1.0
eat,0.0,4.0,13.0,17.0
eaten,0.0,0.0,1.0,1.0
eb,0.0,4.0,0.0,4.0
ebay,4.0,0.0,0.0,4.0
eboni,0.0,0.0,2.0,2.0
ebow,0.0,0.0,3.0,3.0
echo,0.0,12.0,9.0,21.0
econom,0.0,0.0,11.0,11.0
ecstat,0.0,0.0,1.0,1.0
ed,0.0,0.0,1.0,1.0
eddi,21.0,0.0,0.0,21.0
edg,0.0,0.0,4.0,4.0
edgi,0.0,4.0,2.0,6.0
edit,0.0,8.0,9.0,17.0
educ,0.0,0.0,3.0,3.0
eff,0.0,0.0,1.0,1.0
effect,25.0,0.0,35.0,60.0
effici,0.0,4.0,9.0,13.0
effortless,21.0,0.0,4.0,25.0
eh,0.0,0.0,1.0,1.0
ehx,0.0,0.0,1.0,1.0
eighth,0.0,0.0,4.0,4.0
either,12.0,0.0,22.0,34.0
ej,0.0,0.0,1.0,1.0
eject,0.0,0.0,1.0,1.0
eko,4.0,0.0,1.0,5.0
el,0.0,0.0,1.0,1.0
elabor,0.0,0.0,1.0,1.0
elast,0.0,4.0,8.0,12.0
elbow,0.0,0.0,2.0,2.0
elec,0.0,0.0,1.0,1.0
elect,0.0,0.0,2.0,2.0
electr,72.0,108.0,220.0,400.0
electret,0.0,0.0,2.0,2.0
electrician,0.0,0.0,1.0,1.0
electrifi,0.0,0.0,2.0,2.0
electro,0.0,0.0,6.0,6.0
electromagnet,0.0,0.0,1.0,1.0
electron,0.0,8.0,15.0,23.0
electrostat,18.0,0.0,1.0,19.0
eleg,21.0,0.0,2.0,23.0
elementari,0.0,0.0,1.0,1.0
eleph,0.0,0.0,1.0,1.0
elev,0.0,0.0,2.0,2.0
eleven,0.0,0.0,1.0,1.0
elig,0.0,0.0,3.0,3.0
elimi,0.0,0.0,1.0,1.0
elimin,18.0,12.0,23.0,53.0
elix,0.0,0.0,2.0,2.0
elixir,12.0,24.0,53.0,89.0
elixirstr,0.0,0.0,2.0,2.0
ellipt,0.0,4.0,0.0,4.0
elmer,0.0,0.0,1.0,1.0
elong,0.0,0.0,1.0,1.0
els,72.0,56.0,91.0,219.0
elsewher,16.0,20.0,9.0,45.0
elus,0.0,0.0,1.0,1.0
em,0.0,4.0,13.0,17.0
email,0.0,4.0,1.0,5.0
embarrass,0.0,0.0,1.0,1.0
embodi,21.0,0.0,0.0,21.0
emboss,0.0,0.0,1.0,1.0
emg,0.0,0.0,1.0,1.0
emot,0.0,0.0,1.0,1.0
emphas,0.0,8.0,1.0,9.0
empir,0.0,0.0,1.0,1.0
employ,18.0,4.0,1.0,23.0
empti,18.0,0.0,1.0,19.0
emul,0.0,0.0,1.0,1.0
enabl,0.0,4.0,3.0,7.0
encas,0.0,0.0,3.0,3.0
enclos,0.0,0.0,2.0,2.0
encor,0.0,0.0,1.0,1.0
encorpor,0.0,0.0,1.0,1.0
encount,21.0,0.0,10.0,31.0
encourag,0.0,8.0,4.0,12.0
end,62.0,40.0,76.0,178.0
endless,0.0,0.0,10.0,10.0
endors,0.0,0.0,1.0,1.0
endur,0.0,0.0,2.0,2.0
energet,0.0,0.0,1.0,1.0
engag,8.0,4.0,16.0,28.0
engin,0.0,0.0,2.0,2.0
engl,0.0,4.0,0.0,4.0
english,0.0,0.0,1.0,1.0
enhanc,0.0,0.0,18.0,18.0
enjoy,4.0,0.0,32.0,36.0
enlarg,0.0,0.0,8.0,8.0
enorm,0.0,0.0,2.0,2.0
enough,186.0,100.0,279.0,565.0
enought,4.0,0.0,0.0,4.0
ensembl,0.0,0.0,3.0,3.0
ensur,0.0,8.0,6.0,14.0
enter,0.0,0.0,5.0,5.0
enthusiast,0.0,0.0,1.0,1.0
entic,0.0,4.0,0.0,4.0
entir,4.0,20.0,32.0,56.0
entitl,4.0,0.0,0.0,4.0
entri,0.0,0.0,1.0,1.0
envelop,0.0,0.0,2.0,2.0
environment,0.0,0.0,5.0,5.0
epi,0.0,4.0,4.0,8.0
epiphon,0.0,0.0,3.0,3.0
epoxi,0.0,0.0,1.0,1.0
eq,0.0,12.0,26.0,38.0
eqe,0.0,0.0,1.0,1.0
equal,0.0,20.0,19.0,39.0
equip,0.0,0.0,8.0,8.0
equipt,0.0,0.0,1.0,1.0
equival,0.0,4.0,6.0,10.0
erect,0.0,0.0,1.0,1.0
ergo,0.0,4.0,0.0,4.0
ergonom,4.0,8.0,1.0,13.0
ergonomicth,0.0,0.0,1.0,1.0
eric,0.0,8.0,1.0,9.0
erm,0.0,0.0,1.0,1.0
erni,12.0,4.0,27.0,43.0
erron,0.0,0.0,1.0,1.0
es,0.0,0.0,2.0,2.0
escap,0.0,0.0,1.0,1.0
esp,0.0,0.0,2.0,2.0
especi,49.0,48.0,116.0,213.0
essenti,25.0,32.0,13.0,70.0
establish,0.0,0.0,4.0,4.0
estim,0.0,0.0,5.0,5.0
etc,4.0,12.0,27.0,43.0
ether,0.0,0.0,1.0,1.0
euro,0.0,0.0,1.0,1.0
eurol,0.0,0.0,1.0,1.0
european,0.0,0.0,1.0,1.0
evalu,0.0,0.0,2.0,2.0
evapor,0.0,0.0,3.0,3.0
eve,0.0,0.0,1.0,1.0
even,193.0,200.0,362.0,755.0
eventu,21.0,28.0,21.0,70.0
ever,40.0,52.0,157.0,249.0
everlast,0.0,0.0,1.0,1.0
everth,0.0,0.0,1.0,1.0
everybodi,0.0,0.0,1.0,1.0
everyday,0.0,8.0,5.0,13.0
everytim,0.0,0.0,2.0,2.0
everytin,0.0,0.0,1.0,1.0
everywher,0.0,0.0,12.0,12.0
evid,0.0,0.0,1.0,1.0
evo,0.0,0.0,1.0,1.0
evok,0.0,0.0,1.0,1.0
ex,0.0,0.0,1.0,1.0
exacerb,0.0,0.0,1.0,1.0
exact,8.0,32.0,134.0,174.0
examin,0.0,4.0,0.0,4.0
exceed,0.0,0.0,18.0,18.0
excel,12.0,24.0,160.0,196.0
except,0.0,4.0,12.0,16.0
excess,0.0,24.0,16.0,40.0
exchang,0.0,4.0,1.0,5.0
excit,0.0,4.0,8.0,12.0
exclud,0.0,0.0,1.0,1.0
exclus,8.0,4.0,5.0,17.0
excruci,0.0,0.0,1.0,1.0
execpt,0.0,0.0,1.0,1.0
execut,0.0,0.0,2.0,2.0
exert,0.0,4.0,1.0,5.0
exhaust,0.0,4.0,1.0,5.0
exhibit,0.0,0.0,1.0,1.0
exist,0.0,8.0,11.0,19.0
exit,0.0,0.0,2.0,2.0
exp,0.0,0.0,7.0,7.0
expand,0.0,4.0,8.0,12.0
expect,73.0,84.0,186.0,343.0
expecteda,0.0,0.0,1.0,1.0
expectedalbeit,0.0,0.0,1.0,1.0
expens,16.0,52.0,192.0,260.0
expensivemonst,0.0,0.0,1.0,1.0
expensiveon,0.0,0.0,1.0,1.0
exper,0.0,4.0,1.0,5.0
