,negative,positive,total
cuz,9.0,11.0,20.0
cv,1.0,0.0,1.0
cvetic,5.0,0.0,5.0
cvs,1.0,1.0,2.0
cw,1.0,3.0,4.0
cy,2.0,0.0,2.0
cya,1.0,0.0,1.0
cyan,2.0,0.0,2.0
cyanid,2.0,1.0,3.0
cyber,8.0,3.0,11.0
cyberman,0.0,2.0,2.0
cybermen,0.0,1.0,1.0
cybernet,1.0,0.0,1.0
cyberpunk,0.0,1.0,1.0
cybersix,0.0,1.0,1.0
cybertron,1.0,0.0,1.0
cybil,4.0,5.0,9.0
cyborg,26.0,5.0,31.0
cyborgish,1.0,0.0,1.0
cycl,3.0,7.0,10.0
cyclic,2.0,8.0,10.0
cyclon,0.0,1.0,1.0
cyclop,0.0,2.0,2.0
cyd,1.0,2.0,3.0
cyf,3.0,0.0,3.0
cylind,1.0,1.0,2.0
cylindr,3.0,0.0,3.0
cylon,1.0,0.0,1.0
cymbal,0.0,6.0,6.0
cymbalin,0.0,1.0,1.0
cyndi,5.0,1.0,6.0
cynic,126.0,202.0,328.0
cynodont,0.0,1.0,1.0
cynthia,12.0,9.0,21.0
cypher,1.0,6.0,7.0
cyprus,0.0,1.0,1.0
cyrano,0.0,1.0,1.0
cyril,1.0,3.0,4.0
cyrus,0.0,1.0,1.0
cytown,1.0,0.0,1.0
czar,1.0,2.0,3.0
czarina,0.0,2.0,2.0
czarist,0.0,1.0,1.0
czech,12.0,54.0,66.0
czechia,0.0,1.0,1.0
czechoslovak,0.0,3.0,3.0
czechoslovakia,1.0,0.0,1.0
czechoslovakian,0.0,1.0,1.0
da,11.0,18.0,29.0
daa,1.0,0.0,1.0
daaaaaaaaaaaaaaaaaddddddddd,1.0,0.0,1.0
daan,1.0,0.0,1.0
daarl,1.0,0.0,1.0
dab,3.0,5.0,8.0
dabb,0.0,1.0,1.0
dabbl,7.0,13.0,20.0
dabney,2.0,1.0,3.0
dachau,0.0,2.0,2.0
dacoit,0.0,1.0,1.0
dad,53.0,60.0,113.0
dada,1.0,1.0,2.0
dadaist,1.0,0.0,1.0
daddi,50.0,33.0,83.0
dadi,1.0,0.0,1.0
dae,7.0,0.0,7.0
daei,0.0,1.0,1.0
daemon,1.0,0.0,1.0
daerden,1.0,0.0,1.0
daffi,7.0,46.0,53.0
daffili,0.0,1.0,1.0
dafo,14.0,2.0,16.0
daft,17.0,6.0,23.0
dafter,1.0,0.0,1.0
dag,3.0,0.0,3.0
dagger,1.0,2.0,3.0
daggett,1.0,0.0,1.0
daggi,0.0,1.0,1.0
daghlian,0.0,1.0,1.0
dagmar,0.0,2.0,2.0
dagoba,0.0,1.0,1.0
dagobah,0.0,1.0,1.0
dagon,1.0,0.0,1.0
dah,1.0,0.0,1.0
dahl,3.0,2.0,5.0
dahlberg,1.0,0.0,1.0
dahlia,1.0,1.0,2.0
dahmer,15.0,3.0,18.0
dai,0.0,3.0,3.0
daiei,0.0,1.0,1.0
dailey,0.0,1.0,1.0
daili,110.0,213.0,323.0
daimajin,0.0,1.0,1.0
daimyo,1.0,0.0,1.0
dainiken,1.0,0.0,1.0
dainti,2.0,0.0,2.0
daintili,2.0,0.0,2.0
dainton,0.0,1.0,1.0
dairi,1.0,0.0,1.0
daisey,0.0,1.0,1.0
daisi,11.0,5.0,16.0
dakar,0.0,2.0,2.0
dakota,11.0,6.0,17.0
dakus,0.0,1.0,1.0
dal,1.0,0.0,1.0
dalai,1.0,1.0,2.0
dale,6.0,19.0,25.0
dalek,3.0,5.0,8.0
daleko,0.0,1.0,1.0
dalen,0.0,1.0,1.0
daley,0.0,1.0,1.0
dali,2.0,7.0,9.0
dalia,0.0,1.0,1.0
dalian,0.0,1.0,1.0
dalibor,1.0,0.0,1.0
dalio,0.0,1.0,1.0
dall,0.0,1.0,1.0
dalla,13.0,13.0,26.0
dallasian,1.0,0.0,1.0
dallesandro,1.0,5.0,6.0
dalli,2.0,2.0,4.0
dallianc,0.0,1.0,1.0
dalmatian,2.0,4.0,6.0
dalton,4.0,4.0,8.0
dam,9.0,15.0,24.0
dama,0.0,1.0,1.0
damaci,1.0,0.0,1.0
damag,83.0,97.0,180.0
daman,1.0,0.0,1.0
damascus,1.0,2.0,3.0
dame,13.0,17.0,30.0
damian,8.0,26.0,34.0
damiana,1.0,0.0,1.0
damiella,1.0,0.0,1.0
damien,4.0,5.0,9.0
damita,1.0,1.0,2.0
damm,25.0,8.0,33.0
dammit,1.0,2.0,3.0
damn,327.0,259.0,586.0
damnabl,0.0,1.0,1.0
damnat,1.0,0.0,1.0
damndest,1.0,1.0,2.0
damnedest,0.0,1.0,1.0
damnit,2.0,0.0,2.0
damon,12.0,22.0,34.0
damp,8.0,5.0,13.0
dampen,8.0,4.0,12.0
damsel,2.0,4.0,6.0
dan,96.0,103.0,199.0
dana,16.0,45.0,61.0
danayel,1.0,0.0,1.0
danc,415.0,613.0,1028.0
dancehal,1.0,0.0,1.0
dancer,11.0,12.0,23.0
dandelion,1.0,0.0,1.0
dandi,10.0,33.0,43.0
dandifi,1.0,1.0,2.0
dandl,1.0,0.0,1.0
dandridg,0.0,1.0,1.0
dandruff,0.0,1.0,1.0
dandyish,0.0,2.0,2.0
dane,1.0,5.0,6.0
danel,0.0,1.0,1.0
danelia,0.0,6.0,6.0
daneliuc,2.0,0.0,2.0
danes,0.0,1.0,1.0
danforth,1.0,0.0,1.0
dang,13.0,7.0,20.0
dangan,0.0,1.0,1.0
danger,297.0,401.0,698.0
dangereus,1.0,0.0,1.0
dangerfield,10.0,3.0,13.0
dangerman,1.0,0.0,1.0
dangl,34.0,13.0,47.0
danglard,0.0,9.0,9.0
dani,13.0,9.0,22.0
daniel,43.0,115.0,158.0
daniela,3.0,4.0,7.0
daniell,11.0,6.0,17.0
danielsen,1.0,0.0,1.0
danila,1.0,1.0,2.0
danilo,0.0,5.0,5.0
daninski,4.0,1.0,5.0
danira,0.0,1.0,1.0
danish,31.0,89.0,120.0
dank,5.0,5.0,10.0
danner,0.0,1.0,1.0
danni,135.0,240.0,375.0
danson,2.0,8.0,10.0
dansu,0.0,4.0,4.0
dant,14.0,1.0,15.0
dantesqu,1.0,1.0,2.0
danton,2.0,5.0,7.0
danver,0.0,1.0,1.0
danyi,0.0,1.0,1.0
danz,0.0,1.0,1.0
danza,1.0,1.0,2.0
danzel,1.0,0.0,1.0
danzig,1.0,0.0,1.0
daoist,0.0,2.0,2.0
daphn,7.0,10.0,17.0
dapn,0.0,1.0,1.0
dapper,1.0,3.0,4.0
dappl,1.0,0.0,1.0
dar,2.0,5.0,7.0
darabont,0.0,2.0,2.0
darbi,3.0,10.0,13.0
darbo,1.0,0.0,1.0
darcey,1.0,0.0,1.0
darci,10.0,6.0,16.0
dare,182.0,277.0,459.0
daredevil,7.0,5.0,12.0
daresay,3.0,3.0,6.0
dari,1.0,1.0,2.0
daria,3.0,6.0,9.0
darian,3.0,3.0,6.0
darim,0.0,2.0,2.0
darin,1.0,0.0,1.0
dario,2.0,6.0,8.0
darius,1.0,14.0,15.0
dark,777.0,1098.0,1875.0
darken,19.0,28.0,47.0
darkend,0.0,1.0,1.0
darker,8.0,27.0,35.0
darkest,14.0,34.0,48.0
darkheart,0.0,4.0,4.0
darkhors,0.0,1.0,1.0
darkish,1.0,2.0,3.0
darkl,3.0,0.0,3.0
darklight,1.0,0.0,1.0
darkman,9.0,0.0,9.0
darko,0.0,5.0,5.0
darkplac,0.0,2.0,2.0
darkw,4.0,5.0,9.0
darkwav,0.0,1.0,1.0
darkwolf,0.0,2.0,2.0
darl,27.0,27.0,54.0
darla,0.0,1.0,1.0
darlann,1.0,1.0,2.0
darlen,3.0,4.0,7.0
darlian,0.0,1.0,1.0
darmon,0.0,1.0,1.0
darn,64.0,57.0,121.0
darndest,0.0,1.0,1.0
darnedest,1.0,0.0,1.0
darnel,2.0,0.0,2.0
darnit,1.0,0.0,1.0
darph,0.0,1.0,1.0
darr,0.0,4.0,4.0
darrel,1.0,0.0,1.0
darren,10.0,32.0,42.0
darrin,1.0,1.0,2.0
darro,0.0,5.0,5.0
darrow,1.0,0.0,1.0
darryl,10.0,14.0,24.0
darryn,1.0,0.0,1.0
darshan,1.0,3.0,4.0
darstardi,0.0,1.0,1.0
dart,4.0,8.0,12.0
dartboard,1.0,0.0,1.0
darth,12.0,22.0,34.0
dartmouth,0.0,2.0,2.0
daruma,0.0,1.0,1.0
darvi,0.0,3.0,3.0
darwaza,0.0,1.0,1.0
darwel,0.0,1.0,1.0
darwin,18.0,21.0,39.0
darwinian,2.0,2.0,4.0
darwininan,1.0,0.0,1.0
darwyn,2.0,1.0,3.0
darya,0.0,1.0,1.0
daryl,6.0,3.0,9.0
das,9.0,12.0,21.0
dasani,0.0,1.0,1.0
dash,46.0,80.0,126.0
dashiel,0.0,2.0,2.0
dasilva,0.0,2.0,2.0
dassin,3.0,23.0,26.0
dastard,21.0,22.0,43.0
dat,3.0,4.0,7.0
data,0.0,1.0,1.0
databas,1.0,0.0,1.0
datd,1.0,0.0,1.0
date,305.0,416.0,721.0
dateabl,0.0,1.0,1.0
dated,1.0,0.0,1.0
dateless,2.0,0.0,2.0
daud,0.0,1.0,1.0
daughter,34.0,34.0,68.0
daughterti,0.0,1.0,1.0
daulton,0.0,1.0,1.0
daunt,5.0,15.0,20.0
daunton,0.0,1.0,1.0
dauphin,2.0,2.0,4.0
daur,0.0,1.0,1.0
dave,83.0,128.0,211.0
daven,1.0,0.0,1.0
davenport,1.0,2.0,3.0
davetta,1.0,0.0,1.0
davey,0.0,7.0,7.0
davi,24.0,86.0,110.0
david,359.0,588.0,947.0
davidian,0.0,6.0,6.0
davidson,2.0,1.0,3.0
davina,0.0,1.0,1.0
davinci,0.0,4.0,4.0
davo,0.0,9.0,9.0
davoli,0.0,1.0,1.0
davro,0.0,1.0,1.0
daw,3.0,0.0,3.0
dawber,0.0,1.0,1.0
dawdl,2.0,1.0,3.0
dawg,1.0,0.0,1.0
dawid,0.0,1.0,1.0
dawkin,3.0,1.0,4.0
dawm,1.0,0.0,1.0
dawn,19.0,21.0,40.0
dawson,13.0,19.0,32.0
dax,4.0,3.0,7.0
daya,0.0,1.0,1.0
daydream,9.0,7.0,16.0
dayglo,2.0,0.0,2.0
dayl,1.0,0.0,1.0
daylight,12.0,10.0,22.0
dayo,0.0,1.0,1.0
daytiem,0.0,1.0,1.0
daytim,39.0,24.0,63.0
dayton,0.0,2.0,2.0
daze,16.0,17.0,33.0
dazzl,26.0,109.0,135.0
dazzler,0.0,1.0,1.0
db,3.0,0.0,3.0
dbd,0.0,1.0,1.0
dbdumonteil,1.0,0.0,1.0
dbf,0.0,2.0,2.0
dbz,2.0,0.0,2.0
dc,6.0,5.0,11.0
dch,0.0,1.0,1.0
dchen,1.0,1.0,2.0
dci,0.0,1.0,1.0
dcreasi,1.0,0.0,1.0
dd,1.0,1.0,2.0
ddlj,2.0,1.0,3.0
ddt,1.0,0.0,1.0
de,29.0,35.0,64.0
dea,6.0,1.0,7.0
deacon,0.0,1.0,1.0
deactiv,1.0,2.0,3.0
dead,2238.0,1696.0,3934.0
deadbeat,2.0,1.0,3.0
deaden,12.0,3.0,15.0
deadfal,1.0,0.0,1.0
deadhead,0.0,1.0,1.0
deadit,0.0,1.0,1.0
deadlier,4.0,2.0,6.0
deadliest,4.0,1.0,5.0
deadlin,2.0,1.0,3.0
deadpan,20.0,22.0,42.0
deadpool,1.0,0.0,1.0
deadset,1.0,0.0,1.0
deadwood,0.0,2.0,2.0
deaf,38.0,25.0,63.0
deafen,10.0,5.0,15.0
deaki,0.0,1.0,1.0
deal,443.0,852.0,1295.0
dealer,2.0,3.0,5.0
dealt,67.0,124.0,191.0
dean,112.0,104.0,216.0
deanesqu,0.0,1.0,1.0
deangelo,0.0,1.0,1.0
deanna,1.0,30.0,31.0
dear,166.0,118.0,284.0
dearabl,0.0,1.0,1.0
dearest,6.0,7.0,13.0
deari,3.0,0.0,3.0
dearz,1.0,0.0,1.0
deasi,0.0,1.0,1.0
death,21.0,13.0,34.0
deathb,9.0,9.0,18.0
deathdream,1.0,0.0,1.0
deathi,0.0,1.0,1.0
deathless,2.0,0.0,2.0
deathlin,3.0,0.0,3.0
deathstalk,1.0,0.0,1.0
deathtrap,0.0,3.0,3.0
deathwatch,0.0,1.0,1.0
debacl,4.0,1.0,5.0
debas,9.0,7.0,16.0
debat,62.0,47.0,109.0
debauch,1.0,3.0,4.0
debaucher,1.0,0.0,1.0
debaucheri,1.0,0.0,1.0
debbi,18.0,16.0,34.0
debel,0.0,2.0,2.0
deben,1.0,5.0,6.0
deberah,0.0,1.0,1.0
debi,2.0,0.0,2.0
debili,1.0,0.0,1.0
debilit,6.0,6.0,12.0
debit,1.0,1.0,2.0
debon,1.0,0.0,1.0
debonair,4.0,4.0,8.0
deboo,0.0,1.0,1.0
deborah,9.0,22.0,31.0
debouz,0.0,2.0,2.0
debra,11.0,24.0,35.0
debrale,1.0,0.0,1.0
debri,2.0,3.0,5.0
debrief,3.0,1.0,4.0
debt,0.0,1.0,1.0
debunk,13.0,7.0,20.0
debussi,0.0,1.0,1.0
debut,21.0,49.0,70.0
debutant,2.0,3.0,5.0
dec,1.0,1.0,2.0
deca,0.0,1.0,1.0
decad,18.0,20.0,38.0
decaf,1.0,0.0,1.0
decaffein,1.0,0.0,1.0
decal,1.0,0.0,1.0
decameron,1.0,0.0,1.0
decamp,0.0,1.0,1.0
decapit,50.0,15.0,65.0
decapitron,1.0,0.0,1.0
decaprio,0.0,1.0,1.0
decarlo,1.0,1.0,2.0
decaun,1.0,0.0,1.0
decay,19.0,31.0,50.0
decca,0.0,2.0,2.0
dece,1.0,0.0,1.0
deceas,56.0,87.0,143.0
deced,1.0,0.0,1.0
decei,1.0,0.0,1.0
deceit,10.0,14.0,24.0
deceiv,47.0,31.0,78.0
decemb,3.0,11.0,14.0
decenc,1.0,0.0,1.0
decend,1.0,0.0,1.0
decent,1491.0,606.0,2097.0
decentr,0.0,2.0,2.0
decept,27.0,47.0,74.0
decev,1.0,0.0,1.0
dechif,1.0,0.0,1.0
deci,1.0,0.0,1.0
decid,1785.0,1407.0,3192.0
deciev,2.0,0.0,2.0
decim,7.0,11.0,18.0
deciph,21.0,23.0,44.0
decipher,1.0,2.0,3.0
decis,8.0,12.0,20.0
deck,13.0,9.0,22.0
deckchair,1.0,0.0,1.0
decla,1.0,0.0,1.0
declaim,5.0,2.0,7.0
declamatori,1.0,3.0,4.0
declar,101.0,83.0,184.0
declassifi,1.0,2.0,3.0
declin,33.0,37.0,70.0
decloak,1.0,0.0,1.0
deco,0.0,1.0,1.0
decod,7.0,6.0,13.0
decommiss,1.0,0.0,1.0
decompos,7.0,7.0,14.0
deconstruct,17.0,26.0,43.0
decontamin,0.0,3.0,3.0
decor,41.0,56.0,97.0
decorsia,0.0,1.0,1.0
decoupl,0.0,1.0,1.0
decoy,3.0,1.0,4.0
decre,2.0,3.0,5.0
decreas,7.0,12.0,19.0
decrement,1.0,0.0,1.0
decrepit,6.0,9.0,15.0
decrescendo,1.0,0.0,1.0
decri,5.0,3.0,8.0
decsrib,1.0,0.0,1.0
ded,1.0,0.0,1.0
dedalus,0.0,1.0,1.0
dedic,104.0,134.0,238.0
dedovshina,0.0,1.0,1.0
deduc,9.0,9.0,18.0
deduct,6.0,5.0,11.0
dee,34.0,29.0,63.0
deed,6.0,9.0,15.0
deede,1.0,0.0,1.0
deedeede,1.0,0.0,1.0
deedi,0.0,1.0,1.0
deedlit,0.0,1.0,1.0
deeeeeep,0.0,1.0,1.0
deeem,1.0,0.0,1.0
deel,0.0,2.0,2.0
deem,50.0,61.0,111.0
deemphas,1.0,0.0,1.0
deen,1.0,1.0,2.0
deena,0.0,1.0,1.0
deep,535.0,799.0,1334.0
deepa,5.0,4.0,9.0
deepen,6.0,21.0,27.0
deeper,82.0,221.0,303.0
deepest,10.0,43.0,53.0
deepika,1.0,0.0,1.0
deepli,150.0,341.0,491.0
deepti,0.0,3.0,3.0
deer,5.0,11.0,16.0
deerfield,0.0,1.0,1.0
deeriv,0.0,1.0,1.0
deerskin,2.0,0.0,2.0
deewana,1.0,0.0,1.0
deezen,1.0,3.0,4.0
def,7.0,7.0,14.0
defac,4.0,0.0,4.0
defacto,1.0,0.0,1.0
defam,2.0,2.0,4.0
default,2.0,1.0,3.0
defeat,140.0,167.0,307.0
defeatist,2.0,1.0,3.0
defec,7.0,1.0,8.0
defect,9.0,13.0,22.0
defenceless,1.0,0.0,1.0
defend,136.0,153.0,289.0
defenet,1.0,0.0,1.0
defenit,2.0,0.0,2.0
defens,10.0,5.0,15.0
defenseless,6.0,3.0,9.0
defer,4.0,4.0,8.0
deferenti,0.0,2.0,2.0
deffin,0.0,1.0,1.0
deffo,1.0,0.0,1.0
defi,88.0,88.0,176.0
defiant,18.0,27.0,45.0
defibril,1.0,0.0,1.0
defic,1.0,0.0,1.0
defici,7.0,3.0,10.0
defiinit,1.0,0.0,1.0
defil,5.0,0.0,5.0
defin,167.0,289.0,456.0
definaet,0.0,1.0,1.0
definantley,0.0,1.0,1.0
definat,2.0,4.0,6.0
definatley,1.0,1.0,2.0
definet,6.0,18.0,24.0
defini,0.0,6.0,6.0
defininat,0.0,1.0,1.0
definit,1086.0,2146.0,3232.0
definitali,1.0,0.0,1.0
definitel,0.0,1.0,1.0
definitley,0.0,2.0,2.0
defint,3.0,0.0,3.0
defitn,1.0,0.0,1.0
deflat,11.0,8.0,19.0
deflect,10.0,5.0,15.0
deflesh,1.0,0.0,1.0
deflow,2.0,5.0,7.0
defo,1.0,1.0,2.0
deforest,4.0,1.0,5.0
deform,37.0,26.0,63.0
deforrest,1.0,1.0,2.0
defraud,1.0,3.0,4.0
defray,0.0,1.0,1.0
defrock,0.0,4.0,4.0
defrost,1.0,1.0,2.0
deft,8.0,70.0,78.0
defunct,6.0,12.0,18.0
defus,12.0,2.0,14.0
degen,1.0,4.0,5.0
degener,48.0,31.0,79.0
deglamor,0.0,1.0,1.0
degrad,77.0,28.0,105.0
degrassi,1.0,1.0,2.0
degre,58.0,50.0,108.0
dehaven,2.0,1.0,3.0
dehavilland,1.0,3.0,4.0
dehl,1.0,2.0,3.0
dehuman,5.0,9.0,14.0
dehumanis,0.0,3.0,3.0
dehydr,1.0,1.0,2.0
deidr,0.0,1.0,1.0
deifi,1.0,1.0,2.0
deign,5.0,2.0,7.0
deird,0.0,1.0,1.0
deirdr,0.0,2.0,2.0
deither,0.0,1.0,1.0
deitrich,0.0,1.0,1.0
deja,1.0,1.0,2.0
dejavu,2.0,0.0,2.0
deject,5.0,7.0,12.0
dekalog,0.0,1.0,1.0
deke,0.0,1.0,1.0
dekh,1.0,0.0,1.0
dekhn,0.0,1.0,1.0
dekho,0.0,1.0,1.0
deklerk,0.0,1.0,1.0
deknight,0.0,2.0,2.0
dekot,2.0,0.0,2.0
del,15.0,8.0,23.0
delacroix,0.0,2.0,2.0
delamer,1.0,0.0,1.0
delanci,0.0,1.0,1.0
delani,0.0,3.0,3.0
delapid,1.0,3.0,4.0
delar,0.0,1.0,1.0
delay,23.0,31.0,54.0
delbert,0.0,1.0,1.0
delboy,4.0,0.0,4.0
delect,8.0,19.0,27.0
deleg,2.0,5.0,7.0
delenn,2.0,0.0,2.0
deleru,0.0,2.0,2.0
delet,81.0,66.0,147.0
deleteri,0.0,1.0,1.0
deleuis,0.0,1.0,1.0
delhi,1.0,2.0,3.0
deli,2.0,3.0,5.0
delia,15.0,0.0,15.0
deliber,110.0,152.0,262.0
deliberet,1.0,0.0,1.0
delic,30.0,115.0,145.0
delicatesen,1.0,0.0,1.0
delicatessen,3.0,1.0,4.0
delici,38.0,165.0,203.0
delig,0.0,1.0,1.0
deligh,0.0,1.0,1.0
delight,131.0,690.0,821.0
delightfu,0.0,1.0,1.0
delin,2.0,13.0,15.0
delinda,2.0,0.0,2.0
delinko,0.0,1.0,1.0
delinqu,5.0,1.0,6.0
deliri,16.0,58.0,74.0
deliv,825.0,803.0,1628.0
deliver,0.0,10.0,10.0
deliveri,0.0,1.0,1.0
deliveryman,0.0,1.0,1.0
dell,1.0,4.0,5.0
della,7.0,2.0,9.0
dellamort,1.0,0.0,1.0
delli,0.0,1.0,1.0
delmar,3.0,1.0,4.0
deloisell,0.0,1.0,1.0
delon,1.0,5.0,6.0
delor,4.0,1.0,5.0
delorean,1.0,0.0,1.0
delous,0.0,1.0,1.0
delpi,1.0,5.0,6.0
delroy,1.0,4.0,5.0
delta,18.0,5.0,23.0
deltoro,1.0,0.0,1.0
delud,32.0,26.0,58.0
delug,2.0,0.0,2.0
deluis,0.0,1.0,1.0
delus,1.0,0.0,1.0
delusion,29.0,31.0,60.0
delux,3.0,7.0,10.0
delv,54.0,89.0,143.0
delvian,0.0,1.0,1.0
dem,1.0,1.0,2.0
demagog,2.0,1.0,3.0
demand,164.0,225.0,389.0
demarc,0.0,1.0,1.0
demarco,0.0,1.0,1.0
demateri,0.0,1.0,1.0
demean,44.0,18.0,62.0
demeanor,2.0,2.0,4.0
demeanour,0.0,3.0,3.0
dement,71.0,75.0,146.0
dementi,1.0,0.0,1.0
dementia,1.0,0.0,1.0
demerill,1.0,0.0,1.0
demerit,2.0,1.0,3.0
demet,1.0,0.0,1.0
demetrius,0.0,1.0,1.0
demi,13.0,6.0,19.0
demian,3.0,1.0,4.0
demigod,0.0,1.0,1.0
demill,5.0,25.0,30.0
demis,5.0,3.0,8.0
demm,4.0,14.0,18.0
demo,2.0,3.0,5.0
demob,0.0,1.0,1.0
demobil,0.0,2.0,2.0
democraci,0.0,1.0,1.0
democrat,31.0,43.0,74.0
demograph,27.0,14.0,41.0
demoisell,0.0,1.0,1.0
demolish,11.0,18.0,29.0
demolit,1.0,0.0,1.0
demon,152.0,84.0,236.0
demond,0.0,1.0,1.0
demongeot,2.0,0.0,2.0
demoniac,1.0,1.0,2.0
demonian,0.0,1.0,1.0
demonico,1.0,0.0,1.0
demonicus,3.0,0.0,3.0
demonis,1.0,2.0,3.0
demonoid,0.0,1.0,1.0
demonologist,1.0,0.0,1.0
demonstr,160.0,236.0,396.0
demor,4.0,5.0,9.0
demoralis,2.0,1.0,3.0
demornay,3.0,0.0,3.0
demostr,2.0,1.0,3.0
demot,5.0,15.0,20.0
demotiv,2.0,0.0,2.0
dempster,0.0,1.0,1.0
demunn,0.0,1.0,1.0
demur,1.0,2.0,3.0
demystif,1.0,0.0,1.0
demystifi,1.0,3.0,4.0
demytholog,0.0,1.0,1.0
den,11.0,17.0,28.0
denard,0.0,1.0,1.0
denat,0.0,1.0,1.0
denatur,0.0,1.0,1.0
denbi,0.0,1.0,1.0
dench,0.0,6.0,6.0
deneg,1.0,0.0,1.0
denehey,1.0,0.0,1.0
denemark,0.0,1.0,1.0
deneuv,2.0,7.0,9.0
denevu,1.0,0.0,1.0
dengler,0.0,3.0,3.0
denham,1.0,0.0,1.0
denholm,2.0,13.0,15.0
deni,115.0,189.0,304.0
deniabl,0.0,1.0,1.0
denial,12.0,31.0,43.0
denic,1.0,0.0,1.0
denier,1.0,1.0,2.0
denigh,1.0,0.0,1.0
denigr,13.0,15.0,28.0
denigrati,0.0,1.0,1.0
denim,4.0,1.0,5.0
deniro,6.0,15.0,21.0
denis,5.0,5.0,10.0
denistoun,0.0,2.0,2.0
deniz,3.0,1.0,4.0
denmark,4.0,2.0,6.0
dennehi,0.0,2.0,2.0
denni,36.0,59.0,95.0
denomin,0.0,2.0,2.0
denot,8.0,10.0,18.0
denouement,2.0,1.0,3.0
denounc,6.0,14.0,20.0
dens,21.0,17.0,38.0
denser,1.0,1.0,2.0
densest,0.0,1.0,1.0
dent,4.0,2.0,6.0
dental,17.0,28.0,45.0
dentelli,0.0,1.0,1.0
dentist,10.0,14.0,24.0
denton,1.0,1.0,2.0
denud,1.0,1.0,2.0
denuev,1.0,0.0,1.0
denver,6.0,18.0,24.0
denzel,29.0,60.0,89.0
denzil,0.0,2.0,2.0
deo,0.0,1.0,1.0
deodato,2.0,0.0,2.0
deodor,1.0,1.0,2.0
deol,1.0,6.0,7.0
deosnt,1.0,0.0,1.0
depalm,1.0,0.0,1.0
depalma,2.0,3.0,5.0
depardeiux,0.0,1.0,1.0
depardieu,6.0,13.0,19.0
depardieux,0.0,1.0,1.0
depardu,0.0,1.0,1.0
deparidieu,1.0,0.0,1.0
depart,31.0,61.0,92.0
departur,0.0,1.0,1.0
depend,172.0,255.0,427.0
deperson,1.0,1.0,2.0
depict,322.0,533.0,855.0
deplet,3.0,4.0,7.0
deplict,0.0,1.0,1.0
deplor,31.0,20.0,51.0
deploy,14.0,13.0,27.0
depolar,0.0,2.0,2.0
depopul,0.0,2.0,2.0
deport,4.0,6.0,10.0
depos,4.0,9.0,13.0
deposit,9.0,8.0,17.0
depp,4.0,0.0,4.0
deprav,28.0,24.0,52.0
deprec,11.0,12.0,23.0
depreci,4.0,0.0,4.0
depress,349.0,302.0,651.0
depric,0.0,1.0,1.0
depriv,26.0,27.0,53.0
deprogram,1.0,2.0,3.0
depsit,1.0,1.0,2.0
dept,2.0,4.0,6.0
depth,47.0,76.0,123.0
depui,0.0,2.0,2.0
deput,0.0,2.0,2.0
deputi,13.0,11.0,24.0
der,3.0,13.0,16.0
derail,22.0,24.0,46.0
deran,0.0,1.0,1.0
derang,81.0,78.0,159.0
deranger,0.0,1.0,1.0
derat,0.0,1.0,1.0
dere,1.0,0.0,1.0
derek,29.0,21.0,50.0
derelict,4.0,2.0,6.0
derick,1.0,0.0,1.0
derid,5.0,10.0,15.0
derigu,1.0,0.0,1.0
deris,9.0,4.0,13.0
derisori,1.0,2.0,3.0
derit,1.0,0.0,1.0
deriv,157.0,107.0,264.0
derivi,0.0,1.0,1.0
derivit,1.0,0.0,1.0
derleth,1.0,0.0,1.0
derm,0.0,1.0,1.0
dermal,1.0,0.0,1.0
dermatonecrot,0.0,1.0,1.0
dermot,4.0,3.0,7.0
dern,11.0,30.0,41.0
dernier,1.0,1.0,2.0
derogatori,2.0,6.0,8.0
derogatorili,1.0,0.0,1.0
derout,0.0,1.0,1.0
derri,3.0,6.0,9.0
derrick,2.0,2.0,4.0
dervill,0.0,2.0,2.0
dervish,0.0,2.0,2.0
des,8.0,12.0,20.0
desad,4.0,0.0,4.0
desai,1.0,3.0,4.0
desatur,2.0,5.0,7.0
desc,1.0,0.0,1.0
descend,94.0,62.0,156.0
descendeth,1.0,0.0,1.0
descent,19.0,5.0,24.0
deschanel,1.0,0.0,1.0
descib,2.0,0.0,2.0
descov,0.0,1.0,1.0
describ,714.0,695.0,1409.0
descrip,1.0,0.0,1.0
descript,11.0,14.0,25.0
desd,0.0,1.0,1.0
desdemona,0.0,10.0,10.0
desdimona,0.0,1.0,1.0
dese,2.0,2.0,4.0
desecr,6.0,4.0,10.0
desegreg,1.0,0.0,1.0
desenex,1.0,0.0,1.0
desensit,8.0,12.0,20.0
desensitis,1.0,2.0,3.0
desenst,1.0,0.0,1.0
desent,1.0,0.0,1.0
deser,2.0,2.0,4.0
desert,121.0,101.0,222.0
deserv,994.0,1194.0,2188.0
deservin,0.0,1.0,1.0
desh,1.0,1.0,2.0
desi,5.0,11.0,16.0
desicc,0.0,2.0,2.0
desid,1.0,0.0,1.0
desig,2.0,1.0,3.0
design,243.0,208.0,451.0
desintegr,1.0,0.0,1.0
desir,156.0,170.0,326.0
desire,3.0,0.0,3.0
desist,1.0,0.0,1.0
desk,1.0,1.0,2.0
deskbound,0.0,1.0,1.0
desktop,1.0,0.0,1.0
desmond,0.0,5.0,5.0
desmoulin,0.0,2.0,2.0
desni,0.0,1.0,1.0
desol,8.0,25.0,33.0
desoto,0.0,1.0,1.0
despair,5.0,20.0,25.0
despar,0.0,3.0,3.0
despatch,1.0,0.0,1.0
